Documet1,Document2,K,ShinglesJaccard,AproxSim
"10-Don-Quijote","14-Mare-Balena",2,0.362229,0.643253
"10-Don-Quijote","14-Pride-Perjudice",2,0.0263158,0.101961
"10-Don-Quijote","15-Don-Quijote",2,0.29845,0.282685
"10-Don-Quijote","15-Mare-Balena",2,0.271523,0.375695
"10-Don-Quijote","15-Pride-Perjudice",2,0.0784314,0.101709
"10-Don-Quijote","16-Don-Quijote",2,0.285171,0.286738
"10-Don-Quijote","16-Mare-Balena",2,0.346386,0.599743
"10-Don-Quijote","16-Pride-Perjudice",2,0.260377,0.422699
"10-Don-Quijote","17-Don-Quijote",2,0.351111,0.344307
"10-Don-Quijote","17-Mare-Balena",2,0.302721,0.49325
"10-Don-Quijote","17-Pride-Perjudice",2,0.0413793,0.0909675
"10-Don-Quijote","18-Don-Quijote",2,0.0551181,0.06726
"10-Don-Quijote","18-Mare-Balena",2,0.244726,0.34747
"10-Don-Quijote","18-Pride-Perjudice",2,0.0227273,0.0170923
"10-Don-Quijote","19-Don-Quijote",2,0.285714,0.320605
"10-Don-Quijote","19-Mare-Balena",2,0.371875,0.612304
"10-Don-Quijote","19-Pride-Perjudice",2,0.111842,0.133146
"10-Don-Quijote","2-Don-Quijote",2,0.16568,0.203492
"10-Don-Quijote","2-Mare-Balena",2,0.103175,0.12982
"10-Don-Quijote","2-Pride-Perjudice",2,0.308197,0.545851
"10-Don-Quijote","20-Don-Quijote",2,0.5,0.528027
"10-Don-Quijote","20-Mare-Balena",2,0.0307692,0.0615732
"10-Don-Quijote","20-Pride-Perjudice",2,0.104317,0.178334
"10-Don-Quijote","3-Don-Quijote",2,0.0634328,0.0603212
"10-Don-Quijote","3-Mare-Balena",2,0.164659,0.233016
"10-Don-Quijote","3-Pride-Perjudice",2,0.176991,0.307731
"10-Don-Quijote","4-Don-Quijote",2,0.0730769,0.0742385
"10-Don-Quijote","4-Mare-Balena",2,0.148148,0.193124
"10-Don-Quijote","4-Pride-Perjudice",2,0.0956175,0.167278
"10-Don-Quijote","5-Don-Quijote",2,0.58209,0.591217
"10-Don-Quijote","5-Mare-Balena",2,0.400576,0.747665
"10-Don-Quijote","5-Pride-Perjudice",2,0.192453,0.379655
"10-Don-Quijote","6-Don-Quijote",2,0.194872,0.183468
"10-Don-Quijote","6-Mare-Balena",2,0.172897,0.287226
"10-Don-Quijote","6-Pride-Perjudice",2,0.103896,0.218187
"10-Don-Quijote","7-Don-Quijote",2,0.338129,0.333316
"10-Don-Quijote","7-Mare-Balena",2,0.377419,0.585766
"10-Don-Quijote","7-Pride-Perjudice",2,0.111888,0.153334
"10-Don-Quijote","8-Don-Quijote",2,0.217143,0.195363
"10-Don-Quijote","8-Mare-Balena",2,0.409496,0.726513
"10-Don-Quijote","8-Pride-Perjudice",2,0.23871,0.415617
"10-Don-Quijote","9-Don-Quijote",2,0.0512821,0.035968
"10-Don-Quijote","9-Mare-Balena",2,0.0890688,0.114866
"10-Don-Quijote","9-Pride-Perjudice",2,0.40367,0.677034
"10-Mare-Balena","10-Pride-Perjudice",2,0.148515,0.2516
"10-Mare-Balena","11-Don-Quijote",2,0.104895,0.126287
"10-Mare-Balena","11-Mare-Balena",2,0.123077,0.104688
"10-Mare-Balena","11-Pride-Perjudice",2,0.257143,0.416328
"10-Mare-Balena","12-Don-Quijote",2,0.181208,0.217727
"10-Mare-Balena","12-Mare-Balena",2,0.102804,0.0956007
"10-Mare-Balena","12-Pride-Perjudice",2,0.141104,0.170415
"10-Mare-Balena","13-Don-Quijote",2,0.0437956,0.033091
"10-Mare-Balena","13-Mare-Balena",2,0.88959,0.895324
"10-Mare-Balena","13-Pride-Perjudice",2,0.00352113,0.00945262
"10-Mare-Balena","14-Don-Quijote",2,0.263975,0.309479
"10-Mare-Balena","14-Mare-Balena",2,0.425249,0.421287
"10-Mare-Balena","14-Pride-Perjudice",2,0,0.00314986
"10-Mare-Balena","15-Don-Quijote",2,0.198777,0.257173
"10-Mare-Balena","15-Mare-Balena",2,0.390335,0.414014
"10-Mare-Balena","15-Pride-Perjudice",2,0.146154,0.221975
"10-Mare-Balena","16-Don-Quijote",2,0.113475,0.132594
"10-Mare-Balena","16-Mare-Balena",2,0.446735,0.475005
"10-Mare-Balena","16-Pride-Perjudice",2,0.382682,0.608543
"10-Mare-Balena","17-Don-Quijote",2,0.335385,0.454544
"10-Mare-Balena","17-Mare-Balena",2,0.133333,0.154802
"10-Mare-Balena","17-Pride-Perjudice",2,0.111455,0.147914
"10-Mare-Balena","18-Don-Quijote",2,0.0684932,0.0843152
"10-Mare-Balena","18-Mare-Balena",2,0.692557,0.693214
"10-Mare-Balena","18-Pride-Perjudice",2,0.0163399,0.0346322
"10-Mare-Balena","19-Don-Quijote",2,0.224335,0.285534
"10-Mare-Balena","19-Mare-Balena",2,0.056962,0.0567721
"10-Mare-Balena","19-Pride-Perjudice",2,0.123529,0.168703
"10-Mare-Balena","2-Don-Quijote",2,0,0.00928628
"10-Mare-Balena","2-Mare-Balena",2,0.35689,0.368345
"10-Mare-Balena","2-Pride-Perjudice",2,0.0140845,0.00312047
"10-Mare-Balena","20-Don-Quijote",2,0.0641026,0.0640595
"10-Mare-Balena","20-Mare-Balena",2,0.21327,0.222758
"10-Mare-Balena","20-Pride-Perjudice",2,0.0888158,0.112611
"10-Mare-Balena","3-Don-Quijote",2,0.287162,0.380987
"10-Mare-Balena","3-Mare-Balena",2,0.712871,0.681672
"10-Mare-Balena","3-Pride-Perjudice",2,0.157895,0.185024
"10-Mare-Balena","4-Don-Quijote",2,0.206897,0.213686
"10-Mare-Balena","4-Mare-Balena",2,0.414035,0.42737
"10-Mare-Balena","4-Pride-Perjudice",2,0.20922,0.361955
"10-Mare-Balena","5-Don-Quijote",2,0.24026,0.303572
"10-Mare-Balena","5-Mare-Balena",2,0.280769,0.274753
"10-Mare-Balena","5-Pride-Perjudice",2,0.272727,0.438624
"10-Mare-Balena","6-Don-Quijote",2,0.0528169,0.0563722
"10-Mare-Balena","6-Mare-Balena",2,0.383562,0.383128
"10-Mare-Balena","6-Pride-Perjudice",2,0.0683761,0.0965216
"10-Mare-Balena","7-Don-Quijote",2,0.139785,0.164068
"10-Mare-Balena","7-Mare-Balena",2,0.124031,0.129111
"10-Mare-Balena","7-Pride-Perjudice",2,0.116751,0.180353
"10-Mare-Balena","8-Don-Quijote",2,0.579946,0.842564
"10-Mare-Balena","8-Mare-Balena",2,0.387597,0.387258
"10-Mare-Balena","8-Pride-Perjudice",2,0.131673,0.184156
"10-Mare-Balena","9-Don-Quijote",2,0.0687023,0.123658
"10-Mare-Balena","9-Mare-Balena",2,0.315789,0.315556
"10-Mare-Balena","9-Pride-Perjudice",2,0.331412,0.561859
"10-Pride-Perjudice","11-Don-Quijote",2,0.181132,0.295387
"10-Pride-Perjudice","11-Mare-Balena",2,0.291262,0.440572
"10-Pride-Perjudice","11-Pride-Perjudice",2,0.5,0.47585
"10-Pride-Perjudice","12-Don-Quijote",2,0.279635,0.452392
"10-Pride-Perjudice","12-Mare-Balena",2,0.0530303,0.0757959
"10-Pride-Perjudice","12-Pride-Perjudice",2,0.498155,0.507668
"10-Pride-Perjudice","13-Don-Quijote",2,0.167401,0.283293
"10-Pride-Perjudice","13-Mare-Balena",2,0.11284,0.182209
"10-Pride-Perjudice","13-Pride-Perjudice",2,0.370518,0.397011
"10-Pride-Perjudice","14-Don-Quijote",2,0.2589,0.476243
"10-Pride-Perjudice","14-Mare-Balena",2,0.141079,0.231049
"10-Pride-Perjudice","14-Pride-Perjudice",2,0.215247,0.255676
"10-Pride-Perjudice","15-Don-Quijote",2,0.0444444,0.0633484
"10-Pride-Perjudice","15-Mare-Balena",2,0.187023,0.288211
"10-Pride-Perjudice","15-Pride-Perjudice",2,0.0413793,0.0412357
"10-Pride-Perjudice","16-Don-Quijote",2,0.218487,0.316686
"10-Pride-Perjudice","16-Mare-Balena",2,0.255738,0.405195
"10-Pride-Perjudice","16-Pride-Perjudice",2,0.4,0.40279
"10-Pride-Perjudice","17-Don-Quijote",2,0.137405,0.230134
"10-Pride-Perjudice","17-Mare-Balena",2,0.394958,0.66
"10-Pride-Perjudice","17-Pride-Perjudice",2,0.294118,0.260745
"10-Pride-Perjudice","18-Don-Quijote",2,0.276224,0.412429
"10-Pride-Perjudice","18-Mare-Balena",2,0.28,0.413983
"10-Pride-Perjudice","18-Pride-Perjudice",2,0.204651,0.261773
"10-Pride-Perjudice","19-Don-Quijote",2,0.213992,0.32378
"10-Pride-Perjudice","19-Mare-Balena",2,0.221453,0.335368
"10-Pride-Perjudice","19-Pride-Perjudice",2,0.856187,0.852594
"10-Pride-Perjudice","2-Don-Quijote",2,0.13099,0.20235
"10-Pride-Perjudice","2-Mare-Balena",2,0,0.0173697
"10-Pride-Perjudice","2-Pride-Perjudice",2,0.273109,0.329569
"10-Pride-Perjudice","20-Don-Quijote",2,0.179612,0.245771
"10-Pride-Perjudice","20-Mare-Balena",2,0.338509,0.557531
"10-Pride-Perjudice","20-Pride-Perjudice",2,0.528571,0.5263
"10-Pride-Perjudice","3-Don-Quijote",2,0.0851064,0.129551
"10-Pride-Perjudice","3-Mare-Balena",2,0.186312,0.332859
"10-Pride-Perjudice","3-Pride-Perjudice",2,0.0888889,0.100691
"10-Pride-Perjudice","4-Don-Quijote",2,0.0916031,0.12028
"10-Pride-Perjudice","4-Mare-Balena",2,0.121622,0.211679
"10-Pride-Perjudice","4-Pride-Perjudice",2,0.259804,0.240587
"10-Pride-Perjudice","5-Don-Quijote",2,0.202797,0.384937
"10-Pride-Perjudice","5-Mare-Balena",2,0.140625,0.207454
"10-Pride-Perjudice","5-Pride-Perjudice",2,0.120968,0.130939
"10-Pride-Perjudice","6-Don-Quijote",2,0.238806,0.391777
"10-Pride-Perjudice","6-Mare-Balena",2,0.0392157,0.0819639
"10-Pride-Perjudice","6-Pride-Perjudice",2,0.171429,0.150737
"10-Pride-Perjudice","7-Don-Quijote",2,0.179211,0.27368
"10-Pride-Perjudice","7-Mare-Balena",2,0,0.0214376
"10-Pride-Perjudice","7-Pride-Perjudice",2,0.40239,0.414924
"10-Pride-Perjudice","8-Don-Quijote",2,0.044586,0.044586
"10-Pride-Perjudice","8-Mare-Balena",2,0.411765,0.714675
"10-Pride-Perjudice","8-Pride-Perjudice",2,0.0585106,0.0515747
"10-Pride-Perjudice","9-Don-Quijote",2,0.205128,0.308637
"10-Pride-Perjudice","9-Mare-Balena",2,0.186441,0.235294
"10-Pride-Perjudice","9-Pride-Perjudice",2,0.5,0.504405
"11-Don-Quijote","11-Mare-Balena",2,0.325424,0.528938
"11-Don-Quijote","11-Pride-Perjudice",2,0.154812,0.238755
"11-Don-Quijote","12-Don-Quijote",2,0.212121,0.216213
"11-Don-Quijote","12-Mare-Balena",2,0.0070922,0.0174669
"11-Don-Quijote","12-Pride-Perjudice",2,0.0949367,0.117977
"11-Don-Quijote","13-Don-Quijote",2,0.171806,0.186708
"11-Don-Quijote","13-Mare-Balena",2,0.0807453,0.161129
"11-Don-Quijote","13-Pride-Perjudice",2,0.113333,0.168356
